feature,mean_importance,std_importance
CI Latency,0.23371418788401832,0.0014975222322253544
Number of Prior Comments,0.17192785303584457,0.0011854240998659732
Modified Source Code Files,0.14077016931217828,0.0012586080751662988
Number of Similar Failures,0.12086277570884443,0.0010813850004748634
Is Shared Same Emsg,0.07087425279435139,0.0008053405693837504
Number of Parallel Issues,0.043361434206039995,0.0008071772477805788
Is Reference,0.031119340082069277,0.0005596537491510147
Config Lines Deleted,0.027884352644107623,0.0006772639281472214
Has Config Files,0.023112419648249557,0.0004351892778102229
Is Regression,0.02267740688047734,0.0005385225751942717
Is Duplicate,0.0199295024898396,0.0004802388527067005
Is Cross Projects,0.01830221826117244,0.0004620360589567001
Is dependent,0.018237655429112275,0.00031699456544847994
Has Source Code,0.015176185437151778,0.0003491854011714021
Is Problem/Incident,0.012803636099429678,0.00044641882889563986
Is Incorporates,0.008947196857301073,0.00030232738233723015
Is Required,0.006904978651058614,0.0002227828074803727
Is Container,0.0038817147522087463,0.0001672125136545301
Is Supercedes,0.0029045208167524715,0.00014945558150920616
Is Dependent,0.0019405447921286545,0.00018342056636586748
Is Blocked,0.0019274584324179159,0.00011857857957475771
Is Cloners,0.001275180295020645,0.00012761038640707935
Is Child-Issue,0.000740341906060133,9.760990645002949e-05
Is Dependency,0.0007246735841651118,7.309334457343105e-05
Is Completes,0.0,0.0
Is Parent Feature,0.0,0.0
